股票代码,股票简称,最新价,最新涨跌幅,个股热度[20240606],个股热度排名[20240606],market_code,code
300253.SZ,卫宁健康,5.96,-3.089,34402.0,1308,33,300253
600549.SH,厦门钨业,18.61,-0.905,34371.0,1309,17,600549
300657.SZ,弘信电子,14.74,-2.384,34359.0,1310,33,300657
603636.SH,南威软件,7.99,-4.881,34357.5,1311,17,603636
000756.SZ,新华制药,15.16,-2.445,34338.0,1312,33,000756
301086.SZ,鸿富瀚,32.65,-9.179,34320.5,1313,33,301086
600106.SH,重庆路桥,4.82,-5.490,34318.0,1314,17,600106
002202.SZ,金风科技,7.69,-0.518,34301.0,1315,33,002202
002906.SZ,华阳集团,27.43,-3.484,34296.0,1316,33,002906
301413.SZ,安培龙,43.99,-9.764,34271.5,1317,33,301413
603369.SH,今世缘,52.43,-0.738,34193.0,1318,17,603369
002614.SZ,奥佳华,5.84,-3.947,34133.0,1319,33,002614
300527.SZ,中船应急,6.30,-5.547,34132.0,1320,33,300527
601601.SH,中国太保,28.35,-1.971,34113.0,1321,17,601601
600585.SH,海螺水泥,24.27,-0.329,34041.0,1322,17,600585
300595.SZ,欧普康视,17.61,-3.029,34031.0,1323,33,300595
000921.SZ,海信家电,39.49,1.023,34011.0,1324,33,000921
600330.SH,天通股份,6.72,-3.448,34004.5,1325,17,600330
831526.BJ,凯华材料,21.23,-0.562,33966.5,1326,151,831526
002120.SZ,韵达股份,8.76,-2.450,33924.0,1327,33,002120
002178.SZ,延华智能,3.04,-7.599,33874.5,1328,33,002178
000552.SZ,甘肃能化,3.68,0.273,33858.5,1329,33,000552
688037.SH,芯源微,98.15,2.937,33847.5,1330,17,688037
600556.SH,天下秀,3.76,-4.810,33843.5,1331,17,600556
300761.SZ,立华股份,24.83,0.323,33828.0,1332,33,300761
300003.SZ,乐普医疗,16.15,-1.223,33822.5,1333,33,300003
603082.SH,北自科技,31.13,-5.724,33804.5,1334,17,603082
603660.SH,苏州科达,5.26,-7.067,33792.5,1335,17,603660
600666.SH,ST瑞德,1.15,0.000,33788.0,1336,22,600666
000837.SZ,秦川机床,7.58,-4.293,33782.0,1337,33,000837
600100.SH,同方股份,5.30,-2.752,33746.0,1338,17,600100
002122.SZ,汇洲智能,2.26,-6.612,33743.0,1339,33,002122
002952.SZ,亚世光电,20.52,-5.088,33732.0,1340,33,002952
300846.SZ,首都在线,9.10,-7.143,33718.0,1341,33,300846
603589.SH,口子窖,41.75,-1.394,33695.0,1342,17,603589
000962.SZ,东方钽业,10.61,-1.394,33662.0,1343,33,000962
300401.SZ,花园生物,11.08,-3.736,33653.0,1344,33,300401
601699.SH,潞安环能,22.04,0.273,33614.5,1345,17,601699
300708.SZ,聚灿光电,8.92,-1.978,33601.0,1346,33,300708
603123.SH,翠微股份,5.97,-5.388,33598.0,1347,17,603123
002855.SZ,捷荣技术,19.14,-5.807,33597.5,1348,33,002855
603029.SH,天鹅股份,14.01,-6.162,33577.5,1349,17,603029
300760.SZ,迈瑞医疗,304.68,0.135,33561.5,1350,33,300760
001379.SZ,腾达科技,14.30,-4.730,33550.5,1351,33,001379
